#{"t_start": 1746506379.11345, "env_id": "MergeEnv-v0"}
r,l,t
-18.0857,50,1.218544
-12.612651,50,1.5226
-8.809793,50,1.840715
-7.742912,50,2.35995
-7.723254,50,2.827157
-7.882928,50,3.299236
-9.772199,50,3.764761
-7.720436,50,4.233364
-12.880358,50,4.701553
-7.720583,50,5.26145
-7.699978,50,5.7309
-10.695824,50,6.239771
-8.736106,50,6.72793
-11.699555,50,7.193727
-7.710817,50,7.661694
-8.722121,50,8.131
-7.71854,50,8.61648
-8.741722,50,9.085313
-7.784349,50,9.554078
-7.747292,50,10.020772
-7.710469,50,10.491937
-7.702132,50,10.960095
-8.790091,50,11.425848
-7.829108,50,11.893132
-7.82928,50,12.362945
-7.696209,50,12.829519
-12.798012,50,13.299717
-10.722996,50,13.769725
-10.71071,50,14.238469
-7.709619,50,14.70739
-8.715136,50,15.177043
-11.802702,50,15.648744
-10.695619,50,16.121088
-8.722508,50,16.591823
-10.695054,50,17.084007
-8.700704,50,17.591365
-7.829959,50,18.065921
-7.825732,50,18.559421
-7.721642,50,19.035823
-7.709116,50,19.508814
-7.747013,50,19.983662
-7.82811,50,20.461784
-7.721838,50,20.935634
-7.774814,50,21.443534
-9.83765,50,21.919321
-13.857242,50,22.397659
-7.694656,50,22.87368
-10.76249,50,23.350244
-7.7269,50,23.839483
-13.864606,50,24.319289
-7.869679,50,25.103425
-8.79381,50,25.644956
-7.788881,50,26.124095
-8.728674,50,26.606372
-7.730173,50,27.081975
-11.792092,50,27.590456
-7.721431,50,28.13824
-7.787115,50,28.644084
-7.876271,50,29.129994
-8.696586,50,29.624686
-9.830341,50,30.125185
-8.777023,50,30.611634
-7.70378,50,31.097666
-8.717742,50,31.581559
-7.715564,50,32.070293
-11.756685,50,32.55344
-9.750292,50,33.035239
-7.774477,50,33.54746
-9.721946,50,34.116097
-13.72592,50,34.719163
-8.73057,50,35.281029
-10.755362,50,35.870341
-7.879224,50,36.400541
-9.729177,50,36.979443
-12.831681,50,37.477188
-7.721212,50,37.978693
-8.88892,50,38.484918
-7.739181,50,39.038827
-8.702771,50,39.551191
-7.725115,50,40.061072
-13.722348,50,40.574865
-7.723307,50,41.093282
-8.889661,50,41.586456
-8.696999,50,42.08033
-7.751096,50,42.583853
-7.72636,50,43.086361
-22.796995,50,43.582206
-7.721115,50,44.177644
-7.743437,50,44.725378
-11.858001,50,45.222564
-11.721009,50,45.718419
-7.889315,50,46.211936
-7.695354,50,46.704801
-9.722042,50,47.200783
-7.834399,50,47.695464
-7.800976,50,48.188634
-8.698127,50,48.677225
-11.709291,50,49.205516
-8.828771,50,49.702203
-7.833234,50,50.20794
-7.944476,50,51.027375
-10.731079,50,51.5735
-11.779063,50,52.068708
-7.725142,50,52.575617
-8.696106,50,53.095934
-12.863033,50,53.596286
-10.838696,50,54.093062
-9.727787,50,54.594435
-9.701171,50,55.12733
-8.697243,50,55.640407
-9.722629,50,56.139608
-7.753942,50,56.638363
-9.724268,50,57.251157
-11.722924,50,57.756126
-7.734214,50,58.250715
-7.810169,50,58.759629
-7.73815,50,59.261973
-7.859114,50,59.807852
-7.774613,50,60.322851
-10.888577,50,60.824948
-8.740146,50,61.341793
-7.718269,50,61.839184
-10.885294,50,62.341628
-7.728166,50,62.85633
-7.719419,50,63.357984
-8.706778,50,63.926025
-7.726474,50,64.43189
-7.722858,50,64.949556
-8.71428,50,65.476728
-9.757064,50,65.975974
-8.776166,50,66.475731
-10.720144,50,66.981238
-8.707942,50,67.478587
-9.715045,50,67.977219
-8.748989,50,68.489621
-9.702224,50,69.018066
-7.694158,50,69.514319
-7.842777,50,70.021071
-7.702031,50,70.530085
-12.801878,50,71.062687
-8.727842,50,71.563786
-12.735311,50,72.070304
-8.716405,50,72.572494
-9.722241,50,73.075747
-7.722285,50,73.57417
-7.700557,50,74.074166
-8.839209,50,74.573803
-9.717537,50,75.077054
-7.805857,50,75.614922
