#{"t_start": 1746507861.963455, "env_id": "MergeEnv-v0"}
r,l,t
-11.961687,50,0.64754
-9.77465,50,0.973685
-11.800061,50,1.719379
-8.540997,50,2.344096
-11.781648,50,2.961871
-13.153573,50,3.688098
-12.320525,50,4.322387
-14.710346,50,5.119767
-7.035975,50,5.782488
-11.341743,50,6.50598
-14.832639,50,7.156499
-11.668184,50,7.82931
0.130661,22,8.129323
-17.659183,50,8.785457
-9.972423,50,9.42707
-15.546785,50,10.101623
-11.478046,50,10.777894
-12.132091,50,11.420414
0.268068,24,11.75293
-14.307431,50,12.398422
-12.468388,50,13.041648
-10.368891,50,13.687139
-11.270786,50,14.337148
-6.974627,50,14.9821
-15.268471,50,15.627149
-6.837455,50,16.280772
-7.269264,50,16.976503
-12.293742,50,17.625252
-10.40038,50,18.287958
-13.729245,23,18.600992
-11.352815,50,19.254697
-8.175931,50,19.940053
-13.491071,50,20.646058
-10.333459,50,21.299349
-11.9708,50,21.965129
-12.284455,19,22.327589
-12.521805,50,22.980818
-9.274188,50,23.632502
-18.541441,50,24.288413
-19.143657,50,24.943904
-11.926136,50,25.595879
-11.43487,50,26.312497
-11.205704,50,27.049443
-13.493502,50,27.705941
-11.750499,50,28.362998
-10.045353,50,29.022478
-14.817391,50,29.679137
-7.558839,50,30.385127
-11.058069,50,31.064791
-12.022954,50,31.728119
-11.00079,50,32.386076
-14.140689,50,33.044988
-24.621964,50,34.063985
-10.723527,50,34.724539
-11.014759,50,35.387158
-12.291489,50,36.043957
-13.460666,50,36.750389
-9.584753,50,37.408729
-15.778447,50,38.078625
-11.69172,50,38.739985
-11.270284,50,39.40432
-16.149741,50,40.096026
-10.854685,50,40.805412
-10.409718,50,41.466966
-11.556622,50,42.224354
-6.089363,50,42.887153
0.338551,21,43.181733
-7.760788,50,43.922256
-8.893402,50,44.62115
-15.008904,50,45.281734
-9.610214,50,45.944133
-16.615913,50,46.61511
-9.608172,21,46.96157
-10.032537,50,47.626846
-4.678812,22,47.939323
-5.519483,50,48.605422
-11.610752,50,49.275038
-11.637922,50,49.96403
-12.059679,50,50.682858
-12.866555,50,51.357288
-11.049966,50,52.028471
-10.654637,50,52.708968
-10.948876,50,53.378705
-14.04509,50,54.05263
-8.015491,30,54.469293
-16.11028,50,55.145923
-13.110086,50,55.825229
-15.000149,50,56.504257
-11.590293,50,57.277152
-8.058662,50,57.988635
-5.639767,50,58.67942
-8.129366,50,59.371635
-10.574299,50,60.06074
-11.910309,50,60.752522
-10.999661,50,61.490875
-13.98807,50,62.189518
-15.283499,50,62.99393
-7.982154,50,63.689945
-7.75522,50,64.404249
-12.460635,50,65.299142
-11.611735,50,66.12224
-13.157147,50,66.926998
-11.839472,50,67.880548
-13.478165,50,68.679606
-9.185295,50,69.88882
-14.688992,50,70.655644
-7.619061,50,71.498882
-6.289432,50,72.287526
-10.814332,50,73.026475
-12.087155,50,73.728961
-7.76699,50,74.425935
